repository,analysis_duration_seconds,total_commits,test_files_added,test_helpers,prod_files_added,matched_pairs,multi_test_prods,test_first_count,same_commit_count,prod_first_count,test_first_%,same_commit_%,prod_first_%,unmatched_test_files,unmatched_prod_files,match_rate_%
hudi,242.6,6877,1210,146,2992,576,21,14,295,267,2.4,51.2,46.4,488,2457,54.1
zeppelin,163.8,5595,383,22,968,264,20,4,163,97,1.5,61.7,36.7,97,730,73.1
axis-axis1-java,381.8,13229,693,96,3767,151,31,24,37,90,15.9,24.5,59.6,446,3664,25.3
paimon,238.9,5184,898,96,3290,571,33,25,348,198,4.4,60.9,34.7,231,2759,71.2
ant,434.3,15054,680,18,3301,498,205,62,81,355,12.4,16.3,71.3,164,3026,75.2
incubator-hivemall,48.8,2037,187,5,582,179,5,6,111,62,3.4,62.0,34.6,3,408,98.4
maven-changes-plugin,22.4,822,20,3,61,15,0,0,8,7,0.0,53.3,46.7,2,46,88.2
deltaspike,79.0,2693,1100,41,1052,187,19,34,50,103,18.2,26.7,55.1,872,951,17.7
creadur-whisker,23.2,1168,54,0,178,17,2,0,3,14,0.0,17.6,82.4,37,168,31.5
directory-mavibot,17.1,581,54,0,159,48,4,3,15,30,6.2,31.2,62.5,6,123,88.9
ddlutils,23.5,741,97,3,233,39,2,0,5,34,0.0,12.8,87.2,55,197,41.5
tomee,544.5,15934,2334,66,6182,651,74,60,278,313,9.2,42.7,48.1,1617,5665,28.7
axis-axis2-java-core,481.6,15152,1465,27,5625,533,84,70,139,324,13.1,26.1,60.8,905,5207,37.1
kylin,91.9,958,929,53,3116,716,38,15,624,77,2.1,87.2,10.8,160,2455,81.7
rocketmq-externals,39.7,1006,227,17,982,160,8,4,107,49,2.5,66.9,30.6,50,831,76.2
sedona,165.2,2339,203,16,1056,89,9,3,57,29,3.4,64.0,32.6,98,978,47.6
openwebbeans-meecrowave,23.4,738,80,1,187,26,2,5,15,6,19.2,57.7,23.1,53,166,32.9
sling-org-apache-sling-engine,16.6,650,32,2,106,25,0,0,12,13,0.0,48.0,52.0,5,81,83.3
ws-wss4j,105.2,3286,302,7,824,96,30,2,34,60,2.1,35.4,62.5,200,765,32.5
myfaces-extval,17.9,519,314,170,437,2,0,0,0,2,0.0,0.0,100.0,142,435,1.4
xmlbeans,79.5,2017,731,9,2362,168,25,22,18,128,13.1,10.7,76.2,554,2231,23.3
sling-org-apache-sling-jcr-resource,20.2,770,37,6,73,27,2,3,11,13,11.1,40.7,48.1,4,48,87.1
ambari-metrics,21.7,712,93,9,231,53,0,1,40,12,1.9,75.5,22.6,31,178,63.1
sling-org-apache-sling-app-cms,33.4,1076,81,4,239,71,1,0,47,24,0.0,66.2,33.8,6,169,92.2
struts,260.4,8154,1053,54,2277,640,75,35,398,207,5.5,62.2,32.3,359,1758,64.1
ratis-hadoop-projects,44.7,1269,197,9,514,46,0,2,14,30,4.3,30.4,65.2,142,468,24.5
submarine,39.9,1051,177,15,561,91,4,1,68,22,1.1,74.7,24.2,71,476,56.2
commons-ognl,23.4,994,142,1,239,71,2,59,11,1,83.1,15.5,1.4,70,170,50.4
camel-karaf,69.1,1793,395,17,415,26,0,5,21,0,19.2,80.8,0.0,352,389,6.9
commons-jcs,80.5,2835,225,24,653,133,14,21,50,62,15.8,37.6,46.6,68,554,66.2
commons-jxpath,37.6,1498,67,4,196,11,0,0,3,8,0.0,27.3,72.7,52,185,17.5
maven-checkstyle-plugin,20.7,831,20,1,73,11,1,0,6,5,0.0,54.5,45.5,8,63,57.9
maven-shade-plugin,19.9,749,27,1,154,23,2,0,11,12,0.0,47.8,52.2,3,133,88.5
