repo,test_ratio,test_files,java_files,num_commits,stars,has_ci_system,has_build_system,main_language,forks,first_commit_date,last_commit_date,project_life_days
commons-geometry,0.3778,167,442,839.0,56,True,True,Java,28,2018-04-07 00:28:17+00:00,2025-11-21 14:41:26+00:00,2785.0
maven,0.3728,1130,3031,15881.0,4847,True,True,Java,2791,2003-09-01 16:05:50+00:00,2025-11-21 05:32:24+00:00,8116.0
camel-quarkus-examples,0.3701,57,154,560.0,93,True,False,Java,130,2020-09-18 16:18:24+00:00,2025-11-07 14:10:46+00:00,1875.0
jclouds,0.3701,2170,5863,10916.0,212,True,True,Java,145,2009-04-11 16:24:33+00:00,2025-04-28 08:12:40+00:00,5860.0
oozie,0.3694,515,1394,2412.0,726,False,True,Java,475,2011-08-19 19:23:39+00:00,2025-01-27 08:18:57+00:00,4909.0
maven-assembly-plugin,0.3675,111,302,1402.0,105,True,True,Java,73,2005-04-06 06:20:06+00:00,2025-11-17 05:28:10+00:00,7529.0
harmony-classlib,0.3673,2426,6605,7475.0,6,False,True,Java,7,2005-12-01 05:29:27+00:00,2010-02-12 19:43:01+00:00,1534.0
brooklyn-server,0.3672,1055,2873,14472.0,41,True,True,Java,54,2011-06-10 12:55:13+00:00,2025-10-06 13:33:49+00:00,5232.0
harmony,0.3657,2777,7594,956.0,89,False,True,Java,38,2005-09-29 21:02:59+00:00,2011-07-19 17:38:16+00:00,2118.0
cloudberry-pxf,0.3647,209,573,1431.0,4,True,False,Java,9,2015-09-19 00:33:01+00:00,2025-06-24 13:09:38+00:00,3566.0
incubator-kie-kogito-apps,0.3636,497,1367,1569.0,67,True,True,Java,156,2019-10-21 13:09:47+00:00,2025-11-21 14:40:52+00:00,2223.0
sqoop,0.363,261,719,969.0,983,True,True,Java,585,2011-06-14 12:07:16+00:00,2021-03-16 13:53:04+00:00,3563.0
iceberg,0.3621,1744,4817,7736.0,8244,True,True,Java,2884,2017-12-13 21:52:43+00:00,2025-11-21 16:20:55+00:00,2899.0
commons-math,0.3586,369,1029,7358.0,623,True,True,Java,372,2003-05-12 15:07:54+00:00,2025-11-21 14:43:05+00:00,8228.0
maven-site-plugin,0.3571,40,112,1604.0,48,True,True,Java,49,2005-04-12 05:58:10+00:00,2025-11-18 05:01:50+00:00,7524.0
calcite-avatica,0.3559,100,281,2870.0,266,True,True,Java,239,2012-04-20 03:40:33+00:00,2025-09-29 23:02:20+00:00,4910.0
sling-org-apache-sling-resourceresolver,0.3554,43,121,955.0,6,True,True,Java,28,2012-06-14 09:24:43+00:00,2025-11-11 11:27:44+00:00,4898.0
flink-kubernetes-operator,0.3551,174,490,1012.0,955,True,True,Java,500,2022-02-11 03:12:35+00:00,2025-11-04 09:54:03+00:00,1362.0
helix,0.3544,538,1518,4772.0,489,True,True,Java,241,2011-06-22 01:56:46+00:00,2025-11-20 19:04:01+00:00,5265.0
incubator-seata,0.3513,945,2690,2382.0,25876,True,True,Java,8880,2019-01-09 03:13:40+00:00,2025-11-21 09:15:55+00:00,2508.0
pulsar,0.3493,1433,4102,13832.0,14970,True,True,Java,3689,2016-09-07 05:10:37+00:00,2025-11-20 17:23:08+00:00,3361.0
